agent,seed,episode,timestep,reward
DQN (ours),52,713,13454,7.4000
DQN (ours),52,714,13482,21.3565
DQN (ours),52,715,13496,11.8875
DQN (ours),52,716,13496,22.7408
DQN (ours),52,717,13538,21.0363
DQN (ours),52,718,13580,22.5306
DQN (ours),52,719,13594,21.7093
DQN (ours),52,720,13608,9.5594
DQN (ours),52,721,13608,23.0075
DQN (ours),52,722,13622,19.9337
DQN (ours),52,723,13622,20.9318
DQN (ours),52,724,13678,11.4428
DQN (ours),52,725,13706,22.9789
DQN (ours),52,726,13720,21.0057
DQN (ours),52,727,13748,24.1688
DQN (ours),52,728,13762,14.0906
DQN (ours),52,729,13804,20.5739
DQN (ours),52,730,13888,19.2102
DQN (ours),52,731,13916,20.9670
DQN (ours),52,732,13958,20.9421
DQN (ours),52,733,14014,23.9814
DQN (ours),52,734,14014,13.3469
